userId,gameId,rating,timestamp
1,1,4.0,964982703
1,3,4.0,964981247
1,6,4.0,964982224
1,47,5.0,964983815
1,50,5.0,964982931
1,33,3.0,964982400
1,22,5.0,964980868
1,10,4.0,964982176
1,11,5.0,964984041
1,15,5.0,964984100
1,16,5.0,964983650
1,17,5.0,964981208
1,18,3.0,964980985
1,45,5.0,964981179
1,44,4.0,964980908
1,1,5.0,964981680
1,4,3.0,964982967
1,17,3.0,964982310
1,48,5.0,964981179
1,49,4.0,964982563
1,43,4.0,964980962
1,22,5.0,964982588
1,11,4.0,964981710
1,35,3.0,964982363
1,37,4.0,964980868
1,41,5.0,964981909
1,47,4.0,964982346
1,31,3.0,964981208
1,8,5.0,964984002
1,32,4.0,964981179
1,7,4.0,964982653
1,9,5.0,964984153
1,10,4.0,964982546
1,38,4.0,964982271
1,26,4.0,964983793
1,34,5.0,964982838
1,35,5.0,964982931
1,32,3.0,964982563
1,22,5.0,964982838
1,11,3.0,964981775
1,45,4.0,964982400
1,11,3.0,964982653
1,3,3.0,964984086
1,2,4.0,964980499
1,15,5.0,964982475
1,43,5.0,964981529
1,48,5.0,964982176
1,49,4.0,964983614
2,50,5.0,964983219
2,2,3.0,964981775
2,3,5.0,964982681
2,4,5.0,964982876
2,5,5.0,964982791
2,6,5.0,964982855
2,7,3.0,964982903
2,8,5.0,964982653
2,43,5.0,964982791
2,33,4.0,964981179
2,22,5.0,964982400
2,1,4.0,964980924
2,2,5.0,964981680
2,3,5.0,964981327
2,4,5.0,964982951
2,5,4.0,964984018
2,6,5.0,964983484
2,7,5.0,964981680
2,8,4.0,964982513
2,9,5.0,964981327
2,10,5.0,964981827
2,12,5.0,964981872
2,12,5.0,964981827
2,13,5.0,964983737
2,45,4.0,964983250
2,46,5.0,964980499
2,47,5.0,964982951
2,48,4.0,964981855
2,3,2.0,964983393
2,34,5.0,964981909
2,35,5.0,964981909
2,36,5.0,964984018
2,37,5.0,964983618
2,45,5.0,964983723
2,49,5.0,964981442
2,11,3.0,964983414
2,22,4.0,964983599
2,33,5.0,964983705
2,12,5.0,964982290
2,13,5.0,964983414
2,14,5.0,964982703
2,20,5.0,964981909
2,21,5.0,964984086
2,22,4.0,964983393
2,23,3.0,964982653
2,24,3.0,964983017
2,25,3.0,964982310
2,26,3.0,964984112
2,27,4.0,964980875
2,44,4.0,964980985
2,34,5.0,964981107
3,53,4.0,964982620
3,21,5.0,964982290
3,32,3.0,964981125
3,34,5.0,964982346
3,22,5.0,964982951
3,12,4.0,964983056
3,23,5.0,964983504
3,43,3.0,964983536
3,21,3.0,964982620
3,28,5.0,964981125
3,27,4.0,964981230
3,26,4.0,964981404
3,23,5.0,964983034
3,34,4.0,964983056
3,50,4.0,964981780
3,18,5.0,964981497
3,48,5.0,964982176
3,34,4.0,964981710
3,32,4.0,964982211
3,23,5.0,964981710
3,43,4.0,964984176
3,32,5.0,964980523
3,12,4.0,964981888
3,34,5.0,964982903
3,47,4.0,964982563
3,48,5.0,964982791
3,12,4.0,964981747
3,11,5.0,964982400
3,5,5.0,964982838
3,6,5.0,964982838
3,7,3.0,964981710
3,38,5.0,964982653
3,19,4.0,964982838
3,35,4.0,964982588
3,34,4.0,964981725
3,33,5.0,964982529
3,17,5.0,964982876
3,13,5.0,964982791
3,23,5.0,964982791
3,17,5.0,964982838
3,28,4.0,964981725
3,47,5.0,964981710
3,35,4.0,964981680
3,12,4.0,964981710
3,11,2.0,964981775
3,43,4.0,964982989
3,23,4.0,964982310
3,43,5.0,964983664
3,23,5.0,964983263
3,12,2.0,964983546
4,1,5.0,964983861
4,2,4.0,964982462
4,3,5.0,964983123
4,4,2.0,964983094
4,5,5.0,964981093
4,5,4.0,964982310
4,5,3.0,964982513
4,6,5.0,964982242
4,45,4.0,964982620
4,5,5.0,964983414
4,6,5.0,964982588
4,4,4.0,964984169
4,4,4.0,965719662
4,6,5.0,964981278
4,6,3.0,964982328
4,5,5.0,964982242
4,2,5.0,964981265
4,3,5.0,964981888
4,4,5.0,964983000
4,5,5.0,964981144
4,6,4.0,964983080
4,3,2.0,964982588
4,4,4.0,964980523
4,5,4.0,964982377
4,34,5.0,964982620
4,5,4.0,964983393
4,4,4.0,964983414
4,23,5.0,964983393
4,12,3.0,964983426
4,23,5.0,964981855
4,12,5.0,964980985
4,34,5.0,964983414
4,34,5.0,964982703
4,23,4.0,964981710
4,21,4.0,964980523
4,12,5.0,964980868
4,32,5.0,964981680
4,12,5.0,964982703
4,32,4.0,964982290
4,33,5.0,964981872
4,22,5.0,964982176
4,33,5.0,964982191
4,22,5.0,964981888
4,11,5.0,964983282
4,34,4.0,964983034
4,32,5.0,964982495
4,1,5.0,964982271
4,2,5.0,964982242
4,3,4.0,964980896
4,4,5.0,964983762
584,1223,5.0
584,1223,5.0
584,1223,5.0
584,1223,5.0
584,1223,5.0
